i have [value_count] trains matching your request . is there a specific day and time you would like to travel ?	what day would you like to travel ?
there are [value_count] trains for the day and time you request . would you like to book it now ?	[train_id] leaves at [value_time] and arrives at [value_time] . would you like me to book that ?
there are [value_count] trains meeting your needs with the first leaving at [value_time] and the last [value_count] leaving at [value_time] . do you want to book [value_count] of these ?	[train_id] leaves at [value_time] . the travel time is [value_count] minutes . would you like me to book that for you ?
yes it is a cinema located in the [value_area] part of town what information would you like on it ?	[attraction_name] is a museum in the [value_area] . their phone number is [attraction_phone] . is there anything else i can help you with ?
thank you for using our system .	you are welcome . have a nice day .
it is located at [restaurant_address]	[restaurant_name] is a [value_pricerange] -ly priced [value_food] restaurant in the [value_area] part of town . would you like their location ?
yes i can ! table for [value_count] ?	booking was successful . would you like me to book a table ?
okay , your booking was successful ! the reference number is [attraction_reference] . the table will be reserved for [value_count] minutes .	booking was successful . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] . is there anything else i can help you with ?
sure . there are several churches and an [attraction_name] attraction , all in the [value_area] area . do you have a preference ?	[attraction_name] is a nice place in the [value_area] . would you like their location ?
[attraction_name] is lovely , they are on [attraction_address] and free admission	[attraction_name] is a nice place . would you like their location ?
the postcode is [attraction_postcode] . are you looking for a taxi from [attraction_name] to the [restaurant_name] ?	the postcode is [attraction_postcode] . is there anything else i can help you with ?
what time do you want to leave ?	booking was successful . the reference number is [restaurant_reference] . is there anything else i can help you with ?
i have booked you a taxi for [value_day] to arrive at [attraction_name] at [value_time] . is there anything else i may help you with ?	you are all set . is there anything else i can help you with ?
it is a <unk> <unk> in <unk> and contact number is [taxi_phone]	booking completed ! booked car type [taxi_type] contact number [taxi_phone] is there anything else i can help you with ?
you are welcome ! have a great day !	you are welcome . have a nice day .
sure . there are [value_count] guesthouses there . i would be happy to book [value_count] for you if you like .	[hotel_name] is a [value_pricerange] -ly priced [value_count] star hotel in the [value_area] part of town . would you like their location ?
no . they all have [value_count] stars .	no , it has a [value_count] star rating . would you like me to book a room ?
all of the accommodations in the [value_area] are in the [value_pricerange] price range . would you like to try a different part of town ?	[hotel_name] is a [value_pricerange] -ly priced [value_count] star hotel in the [value_area] part of town . would you like their location ?
actually , the [hotel_name] is a [value_count] start hotel in the [value_area] area . it s in the [value_pricerange] price range . how does that sound ?	[hotel_name] is a [value_pricerange] -ly priced [value_count] star hotel in the [value_area] . would you like me to book a room ?
okay , you are all set . the hotel is booked and the reference number is [hotel_reference] . can i help you with anything else today ?	booking was successful . reference number is [hotel_reference] . is there anything else i can help you with ?
[restaurant_name] is an [value_pricerange] restaurant in the same area as the hotel , would you like me to make reservations for you ?	[restaurant_name] is a [value_pricerange] -ly priced [value_food] restaurant in the [value_area] part of town . would you like their location ?
booking was successful . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] . what else can i help you with today ?	booking was successful . the table will be reserved for [value_count] minutes . reference number is [restaurant_reference] . is there anything else i can help you with ?
ok ! have a great day !	you are welcome . have a nice day .
there are several guesthouses available . do you have a price reference ?	[hotel_name] is a [value_pricerange] -ly priced [value_count] star guesthouse in the [value_area] part of town . would you like me to book a room ?
the [hotel_name] guesthouse hotel is located in the [value_area] , has a [value_count] star rating , and is [value_pricerange] -ly priced . would you like me to book it for you ?	[hotel_name] is a [value_pricerange] -ly priced [value_count] star hotel in the [value_area] part of town . would you like their location ?
how about the [hotel_name] guesthouse ?	yes , it does . would you like me to book a room ?
what day would you like to stay ? how many days ?	would you like me to book a room ?
the hotel is booked and your reference number is [hotel_reference] . can i help you with anything else ?	booking was successful . reference number is [hotel_reference] . is there anything else i can help you with ?
what is your desired destination ?	what day would you like to travel ?
there are [value_count] trains to [value_place] on that day . do you know what time you would like to leave or arrive by ?	what time would you like to leave ?
train [train_id] will get you there by [value_time] . do you want tickets for that ?	[train_id] leaves at [value_time] and arrives at [value_time] . would you like me to book that ?
no problem ! the departure time for [train_id] is [value_time] . will that work ?	[train_id] leaves at [value_time] . is there anything else i can help you with ?
it is [value_price] pounds per person .	the price is [value_price] pounds . is there anything else i can help you with ?
great ! hope you enjoy your trip !	you are welcome . have a nice day .
you must try [restaurant_name] in the [value_area] of town ! want a reservation ?	[restaurant_name] is a [value_pricerange] -ly priced [value_food] restaurant in the [value_area] part of town . would you like their location ?
sure thing . the address is [restaurant_address] .	[restaurant_name] is located at [restaurant_address] . is there anything else i can help you with ?
sure , i can help you with that . where are you departing from ?	where are you departing from ?
great , the [train_id] leaves at [value_time] . would that work for you ?	[train_id] leaves at [value_time] and arrives at [value_time] . would you like me to book that for you ?
i will book the reservation now .	booking was successful , the total fee is [value_price] gbp . is there anything else i can help you with ?
booking was successful , the total fee is [value_count] gbp payable at the station . reference number is [train_reference] . is there anything else i can help with ?	you are welcome . is there anything else i can help you with ?
happy to assist . let me know if there is anything else you need .	you are welcome . have a nice day .
okay , thank you and goodbye !	you are welcome . have a nice day .
what can i help you with ?	is there anything else i can help you with ?
i sure can . [restaurant_name] is an [value_pricerange] [value_food] place in the [value_area] of town . what day would you like your reservation ?	[restaurant_name] is a [value_pricerange] -ly priced [value_food] restaurant in the [value_area] . would you like their location ?
ok , i am getting the info up now , how many people will this be for and what time ?	what time would you like to dine ?
